State,District,Latitude,Longitude,Year
Karnataka,Shivamogga,13.9299,75.5681,2015
Karnataka,Shivamogga,13.9299,75.5681,2016
Karnataka,Shivamogga,13.9299,75.5681,2017
Karnataka,Shivamogga,13.9299,75.5681,2018
Karnataka,Shivamogga,13.9299,75.5681,2019
Karnataka,Shivamogga,13.9299,75.5681,2020
Karnataka,Shivamogga,13.9299,75.5681,2021
Karnataka,Shivamogga,13.9299,75.5681,2022
Karnataka,Shivamogga,13.9299,75.5681,2023
Karnataka,Shivamogga,13.9299,75.5681,2024
Karnataka,Uttara Kannada,14.7937,74.6869,2015
Karnataka,Uttara Kannada,14.7937,74.6869,2016
Karnataka,Uttara Kannada,14.7937,74.6869,2017
Karnataka,Uttara Kannada,14.7937,74.6869,2018
Karnataka,Uttara Kannada,14.7937,74.6869,2019
Karnataka,Uttara Kannada,14.7937,74.6869,2020
Karnataka,Uttara Kannada,14.7937,74.6869,2021
Karnataka,Uttara Kannada,14.7937,74.6869,2022
Karnataka,Uttara Kannada,14.7937,74.6869,2023
Karnataka,Uttara Kannada,14.7937,74.6869,2024
Karnataka,Chikkamagaluru,13.3161,75.772,2015
Karnataka,Chikkamagaluru,13.3161,75.772,2016
Karnataka,Chikkamagaluru,13.3161,75.772,2017
Karnataka,Chikkamagaluru,13.3161,75.772,2018
Karnataka,Chikkamagaluru,13.3161,75.772,2019
Karnataka,Chikkamagaluru,13.3161,75.772,2020
Karnataka,Chikkamagaluru,13.3161,75.772,2021
Karnataka,Chikkamagaluru,13.3161,75.772,2022
Karnataka,Chikkamagaluru,13.3161,75.772,2023
Karnataka,Chikkamagaluru,13.3161,75.772,2024
Karnataka,Kodagu,12.4244,75.7382,2015
Karnataka,Kodagu,12.4244,75.7382,2016
Karnataka,Kodagu,12.4244,75.7382,2017
Karnataka,Kodagu,12.4244,75.7382,2018
Karnataka,Kodagu,12.4244,75.7382,2019
Karnataka,Kodagu,12.4244,75.7382,2020
Karnataka,Kodagu,12.4244,75.7382,2021
Karnataka,Kodagu,12.4244,75.7382,2022
Karnataka,Kodagu,12.4244,75.7382,2023
Karnataka,Kodagu,12.4244,75.7382,2024
Kerala,Wayanad,11.6854,76.132,2015
Kerala,Wayanad,11.6854,76.132,2016
Kerala,Wayanad,11.6854,76.132,2017
Kerala,Wayanad,11.6854,76.132,2018
Kerala,Wayanad,11.6854,76.132,2019
Kerala,Wayanad,11.6854,76.132,2020
Kerala,Wayanad,11.6854,76.132,2021
Kerala,Wayanad,11.6854,76.132,2022
Kerala,Wayanad,11.6854,76.132,2023
Kerala,Wayanad,11.6854,76.132,2024
Kerala,Kannur,11.8745,75.3704,2015
Kerala,Kannur,11.8745,75.3704,2016
Kerala,Kannur,11.8745,75.3704,2017
Kerala,Kannur,11.8745,75.3704,2018
Kerala,Kannur,11.8745,75.3704,2019
Kerala,Kannur,11.8745,75.3704,2020
Kerala,Kannur,11.8745,75.3704,2021
Kerala,Kannur,11.8745,75.3704,2022
Kerala,Kannur,11.8745,75.3704,2023
Kerala,Kannur,11.8745,75.3704,2024
Goa,North Goa,15.4909,73.8278,2015
Goa,North Goa,15.4909,73.8278,2016
Goa,North Goa,15.4909,73.8278,2017
Goa,North Goa,15.4909,73.8278,2018
Goa,North Goa,15.4909,73.8278,2019
Goa,North Goa,15.4909,73.8278,2020
Goa,North Goa,15.4909,73.8278,2021
Goa,North Goa,15.4909,73.8278,2022
Goa,North Goa,15.4909,73.8278,2023
Goa,North Goa,15.4909,73.8278,2024
Goa,South Goa,15.117,74.124,2015
Goa,South Goa,15.117,74.124,2016
Goa,South Goa,15.117,74.124,2017
Goa,South Goa,15.117,74.124,2018
Goa,South Goa,15.117,74.124,2019
Goa,South Goa,15.117,74.124,2020
Goa,South Goa,15.117,74.124,2021
Goa,South Goa,15.117,74.124,2022
Goa,South Goa,15.117,74.124,2023
Goa,South Goa,15.117,74.124,2024
Maharashtra,Sindhudurg,16.3492,73.5594,2015
Maharashtra,Sindhudurg,16.3492,73.5594,2016
Maharashtra,Sindhudurg,16.3492,73.5594,2017
Maharashtra,Sindhudurg,16.3492,73.5594,2018
Maharashtra,Sindhudurg,16.3492,73.5594,2019
Maharashtra,Sindhudurg,16.3492,73.5594,2020
Maharashtra,Sindhudurg,16.3492,73.5594,2021
Maharashtra,Sindhudurg,16.3492,73.5594,2022
Maharashtra,Sindhudurg,16.3492,73.5594,2023
Maharashtra,Sindhudurg,16.3492,73.5594,2024
