Date,Temperature,Rainfall,Humidity
2020-01-01,18.69,0.0,62.35
2020-02-01,23.03,0.0,37.13
2020-03-01,25.01,0.15,41.73
2020-04-01,30.06,0.02,34.13
2020-05-01,30.65,0.31,48.81
2020-06-01,25.56,15.02,83.17
2020-07-01,24.68,13.99,90.38
2020-08-01,23.97,25.55,93.53
2020-09-01,24.23,9.84,91.09
2020-10-01,23.89,3.35,82.72
2020-11-01,21.22,0.07,75.39
2020-12-01,20.28,0.65,65.27
,24.27,5.77,67.26
2021-01-01,22.1,0.41,55.63
2021-02-01,23.34,0.27,33.47
2021-03-01,27.93,0.02,24.32
2021-04-01,29.36,0.41,38.51
2021-05-01,28.37,6.11,61.15
2021-06-01,25.5,11.02,85.3
2021-07-01,24.66,12.17,89.16
2021-08-01,23.71,10.68,89.51
2021-09-01,23.73,15.41,92.37
2021-10-01,22.98,1.59,82.41
2021-11-01,22.06,1.08,78.77
2021-12-01,19.15,2.28,73.72
,24.41,5.14,67.23
2022-01-01,18.47,0.04,61.79
2022-02-01,22.08,0.0,38.98
2022-03-01,28.26,0.14,26.06
2022-04-01,30.55,0.0,31.06
2022-05-01,29.27,0.36,57.19
2022-06-01,26.88,6.93,74.02
2022-07-01,23.83,32.01,92.54
2022-08-01,23.58,16.22,91.59
2022-09-01,23.78,15.08,91.77
2022-10-01,22.13,4.8,84.02
2022-11-01,19.53,0.0,72.74
2022-12-01,20.97,0.3,64.39
,24.12,6.38,65.71
2023-01-01,19.83,0.02,48.2
2023-02-01,23.96,0.0,20.69
2023-03-01,25.18,0.65,42.44
2023-04-01,28.39,0.35,39.71
2023-05-01,29.22,0.25,51.8
2023-06-01,27.3,8.91,70.48
2023-07-01,24.36,23.45,91.91
2023-08-01,23.8,2.99,89.19
2023-09-01,24.2,10.94,89.75
2023-10-01,23.21,0.17,76.63
2023-11-01,22.12,1.19,68.1
2023-12-01,21.11,0.02,61.17
,24.38,4.1,62.8
2024-01-01,21.47,0.06,39.57
2024-02-01,23.99,0.02,34.58
2024-03-01,26.53,0.0,31.26
2024-04-01,30.62,0.08,34.15
2024-05-01,31.13,0.54,48.49
2024-06-01,27.18,8.0,77.41
2024-07-01,24.59,23.42,91.41
2024-08-01,24.37,19.08,91.38
2024-09-01,23.67,14.18,91.63
2024-10-01,24.03,3.84,85.19
2024-11-01,19.98,0.0,74.37
2024-12-01,20.1,0.49,67.11
,24.8,5.84,63.98
