State,District,Year,KFD_Season,KFD_AFI_Cases,Outbreak_Label,Target_Definition,Case_Definition,Source_ID,Source_Document,Source_Page,Evidence_Status,Zero_Basis
Goa,North Goa,2015,2015-16,191,1,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,52-53,Verified,
Goa,South Goa,2015,2015-16,0,0,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,52-53,Verified,Case/affected village not listed for this district-season in NCDC AFI annexure
Karnataka,Chikkamagaluru,2015,2015-16,0,0,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,53-54,Verified,Case/affected village not listed for this district-season in NCDC AFI annexure
Karnataka,Kodagu,2015,2015-16,0,0,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,53-54,Verified,Case/affected village not listed for this district-season in NCDC AFI annexure
Karnataka,Shivamogga,2015,2015-16,22,1,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,53-54,Verified,
Karnataka,Uttara Kannada,2015,2015-16,1,1,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,53-54,Verified,
Kerala,Kannur,2015,2015-16,0,0,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,54,Verified,Case/affected village not listed for this district-season in NCDC AFI annexure
Kerala,Wayanad,2015,2015-16,7,1,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,54,Verified,
Maharashtra,Sindhudurg,2015,2015-16,25,1,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,54-55,Verified,
Goa,North Goa,2016,2016-17,79,1,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,52-53,Verified,
Goa,South Goa,2016,2016-17,0,0,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,52-53,Verified,Case/affected village not listed for this district-season in NCDC AFI annexure
Karnataka,Chikkamagaluru,2016,2016-17,0,0,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,53-54,Verified,Case/affected village not listed for this district-season in NCDC AFI annexure
Karnataka,Kodagu,2016,2016-17,0,0,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,53-54,Verified,Case/affected village not listed for this district-season in NCDC AFI annexure
Karnataka,Shivamogga,2016,2016-17,62,1,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,53-54,Verified,
Karnataka,Uttara Kannada,2016,2016-17,0,0,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,53-54,Verified,Case/affected village not listed for this district-season in NCDC AFI annexure
Kerala,Kannur,2016,2016-17,0,0,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,54,Verified,Case/affected village not listed for this district-season in NCDC AFI annexure
Kerala,Wayanad,2016,2016-17,0,0,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,54,Verified,Case/affected village not listed for this district-season in NCDC AFI annexure
Maharashtra,Sindhudurg,2016,2016-17,87,1,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,54-55,Verified,
Goa,North Goa,2017,2017-18,58,1,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,52-53,Verified,
