Feature_Set,Model,Balanced_Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Combined,Decision Tree,0.5434782608695652,0.53125,0.7391304347826086,0.6181818181818182,0.3544423440453686,0.4367036147322861
Combined,XGBoost,0.5,0.5,0.5652173913043478,0.5306122448979592,0.4706994328922495,0.47255456750004
Combined,Logistic Regression,0.4782608695652174,0.4782608695652174,0.4782608695652174,0.4782608695652174,0.4461247637051039,0.446164020288153
Combined,Random Forest,0.4347826086956521,0.4482758620689655,0.5652173913043478,0.5,0.3194706994328922,0.39714171048337
Dynamic Only,Random Forest,0.5652173913043479,0.5714285714285714,0.5217391304347826,0.5454545454545454,0.5444234404536862,0.5010365555255148
Dynamic Only,Logistic Regression,0.5434782608695652,0.5416666666666666,0.5652173913043478,0.5531914893617021,0.4914933837429112,0.4707806576110822
Dynamic Only,Decision Tree,0.5,0.5,0.6521739130434783,0.5660377358490566,0.4773156899810964,0.4831501167436285
Dynamic Only,XGBoost,0.4347826086956522,0.4285714285714285,0.391304347826087,0.4090909090909091,0.4763705103969754,0.4803607942107241
Static Only,Decision Tree,0.3043478260869565,0.3448275862068966,0.4347826086956521,0.3846153846153846,0.2079395085066162,0.3730473724176873
Static Only,Logistic Regression,0.2826086956521739,0.3333333333333333,0.4347826086956521,0.3773584905660377,0.3421550094517958,0.4613152249105944
Static Only,XGBoost,0.1956521739130434,0.2307692307692307,0.2608695652173913,0.2448979591836734,0.1342155009451796,0.3677403719805119
Static Only,Random Forest,0.1739130434782608,0.1428571428571428,0.1304347826086956,0.1363636363636363,0.0907372400756143,0.3516850260611197
