Feature_Set,Model,Balanced_Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Combined,Decision Tree,0.5217391304347826,0.5161290322580645,0.6956521739130435,0.5925925925925926,0.3648393194706995,0.4691611567488145
Combined,XGBoost,0.4782608695652174,0.4827586206896552,0.6086956521739131,0.5384615384615384,0.4763705103969754,0.4855292209024727
Combined,Random Forest,0.4347826086956521,0.4482758620689655,0.5652173913043478,0.5,0.3081285444234404,0.3996347926764417
Combined,Logistic Regression,0.3913043478260869,0.3809523809523809,0.3478260869565217,0.3636363636363636,0.4291115311909262,0.4381986017331442
Dynamic Only,Decision Tree,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.5189035916824196,0.5440174428595979
Dynamic Only,Random Forest,0.5652173913043478,0.5517241379310345,0.6956521739130435,0.6153846153846154,0.4650283553875236,0.4740668008207417
Dynamic Only,XGBoost,0.5217391304347826,0.5185185185185185,0.6086956521739131,0.56,0.5122873345935728,0.5099242514614362
Dynamic Only,Logistic Regression,0.5,0.5,0.5217391304347826,0.5106382978723404,0.4328922495274102,0.441170068108747
Static Only,Decision Tree,0.3043478260869565,0.3448275862068966,0.4347826086956521,0.3846153846153846,0.2079395085066162,0.3730473724176873
Static Only,Logistic Regression,0.2826086956521739,0.3333333333333333,0.4347826086956521,0.3773584905660377,0.3421550094517958,0.4613152249105944
Static Only,XGBoost,0.1956521739130434,0.2307692307692307,0.2608695652173913,0.2448979591836734,0.1342155009451796,0.3677403719805119
Static Only,Random Forest,0.1739130434782608,0.1428571428571428,0.1304347826086956,0.1363636363636363,0.0907372400756143,0.3516850260611197
