Feature_Set,Model,Balanced_Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Dynamic Only,Decision Tree,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.5189035916824196,0.5440174428595979
Dynamic Only,Random Forest,0.5652173913043478,0.5517241379310345,0.6956521739130435,0.6153846153846154,0.46502835538752363,0.4740668008207417
Combined,Decision Tree,0.5217391304347826,0.5161290322580645,0.6956521739130435,0.5925925925925926,0.3648393194706995,0.46916115674881453
Dynamic Only,XGBoost,0.5217391304347826,0.5185185185185185,0.6086956521739131,0.56,0.5122873345935728,0.5099242514614362
Dynamic Only,Logistic Regression,0.5,0.5,0.5217391304347826,0.5106382978723404,0.43289224952741023,0.44117006810874704
Combined,XGBoost,0.4782608695652174,0.4827586206896552,0.6086956521739131,0.5384615384615384,0.4763705103969754,0.4855292209024727
Combined,Random Forest,0.43478260869565216,0.4482758620689655,0.5652173913043478,0.5,0.30812854442344045,0.3996347926764417
Combined,Logistic Regression,0.3913043478260869,0.38095238095238093,0.34782608695652173,0.36363636363636365,0.42911153119092627,0.4381986017331442
Static Only,Decision Tree,0.30434782608695654,0.3448275862068966,0.43478260869565216,0.38461538461538464,0.20793950850661627,0.3730473724176873
Static Only,Logistic Regression,0.2826086956521739,0.3333333333333333,0.43478260869565216,0.37735849056603776,0.34215500945179583,0.4613152249105944
Static Only,XGBoost,0.19565217391304346,0.23076923076923078,0.2608695652173913,0.24489795918367346,0.1342155009451796,0.36774037198051196
Static Only,Random Forest,0.17391304347826086,0.14285714285714285,0.13043478260869565,0.13636363636363635,0.09073724007561434,0.35168502606111973
